resp.keys,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimuli,participant,date,expName,psychopyVersion,OS,frameRate,gotResponse.keys,gotResponse.rt,resp_2.keys,resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_3.keys,key_resp_3.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,resp_3.keys,resp_3.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
,,,,,,,stim2/pa+15.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,left,0.23878,0,2,2,2,1
,,,,,,,stim2/pa-10.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,right,0.240525,0,3,3,11,1
,,,,,,,stim2/pa+40.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,left,0.267755,0,4,4,7,1
,,,,,,,stim2/pa-30.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,right,0.05461,0,5,5,15,1
,,,,,,,stim2/pa+10.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,left,0.290035,0,6,6,1,1
,,,,,,,stim2/pa-35.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,right,0.12554,0,7,7,16,1
,,,,,,,stim2/pa+30.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,left,0.17447,0,8,8,5,1
,,,,,,,stim2/pa+50.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,right,0.174985,0,9,9,9,1
,,,,,,,stim2/pa+45.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,left,0.22097,0,10,10,8,1
,,,,,,,stim2/pa+35.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,right,0.15539,0,11,11,6,1
