resp.keys,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimuli,participant,date,expName,psychopyVersion,OS,frameRate,gotResponse.keys,gotResponse.rt,resp_2.keys,resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,resp_3.keys,resp_3.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_2.keys,key_resp_2.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran
,,,,,,,stim2/pa+40.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,left,1.52376,2,4,38,7,1,,,,,,,
,,,,,,,stim2/pa-05.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,right,0.851015,2,5,39,10,1,,,,,,,
,,,,,,,stim2/pa+35.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,right,0.91147,2,6,40,6,1,,,,,,,
,,,,,,,stim2/pa+05.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,right,0.66751,2,7,41,0,1,,,,,,,
,,,,,,,stim2/pa-20.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,left,0.39139,2,8,42,13,1,,,,,,,
,,,,,,,stim2/pa-35.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,right,1.024465,2,9,43,16,1,,,,,,,
,,,,,,,stim2/pa-10.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,right,0.77723,2,10,44,11,1,,,,,,,
,,,,,,,stim2/pa+15.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,left,0.58557,2,11,45,2,1,,,,,,,
,,,,,,,stim2/pa+45.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,left,0.835,2,12,46,8,1,,,,,,,
,,,,,,,stim2/pa+50.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,left,0.72397,2,13,47,9,1,,,,,,,
,,,,,,,stim2/pa+30.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,left,0.87735,2,14,48,5,1,,,,,,,
,,,,,,,stim2/pa-25.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,right,0.451095,2,15,49,14,1,,,,,,,
,,,,,,,stim2/pa+20.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,right,15.396965,2,16,50,3,1,,,,,,,
,,,,,,,stim2/pa-10.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,right,1.356035,,,,,,q,3.128885,0,0,0,11,1
,,,,,,,stim2/pa+35.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,right,0.558065,,,,,,,,0,1,1,6,1
,,,,,,,stim2/pa-35.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,left,0.466355,,,,,,,,0,2,2,16,1
