stimuli,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,instrText.started,instrText.stopped,cross_tr.started,cross_tr.stopped,sound_1.started,sound_1.stopped,resp.keys,resp.rt,resp.started,resp.stopped,eefree_p.started,eefree_p.stopped,offree_practice.started,offree_practice.stopped,gotIT.started,gotIT.stopped,gotResponse.keys,gotResponse.rt,gotResponse.started,gotResponse.stopped,cross_tr_2.started,cross_tr_2.stopped,sound_2.started,sound_2.stopped,resp_2.keys,resp_2.rt,resp_2.started,resp_2.stopped,eefree_p_2.started,eefree_p_2.stopped,offree_practice_2.started,offree_practice_2.stopped,instrText_2.started,instrText_2.stopped,cross_tr_3.started,cross_tr_3.stopped,sound_3.started,sound_3.stopped,resp_3.keys,resp_3.rt,resp_3.started,resp_3.stopped,pafri.started,pafri.stopped,bafri.started,bafri.stopped,session,participant,date,expName,psychopyVersion,frameRate,
stim/VC_10.wav,,,,,3,5,38,9,,,,,,,,,,,,,,,,,,,,,,,,,69.06317429989576,69.4779856998939,69.56176631997805,None,right,0.5651059998199344,69.56160339992493,None,69.56160339992493,None,69.56160339992493,None,,,,,,,,,,,,,,,01,eeeee,2020_Oct_09_1324,2_afc_eng,2020.2.3,59.88780615233442,
stim/VC_03.wav,,,,,3,6,39,2,,,,,,,,,,,,,,,,,,,,,,,,,70.1471466999501,70.56229969998822,70.64465761983301,None,left,0.6307624999899417,70.64486230001785,None,70.64486230001785,None,70.64486230001785,None,,,,,,,,,,,,,,,01,eeeee,2020_Oct_09_1324,2_afc_eng,2020.2.3,59.88780615233442,
stim/VC_09.wav,,,,,3,7,40,8,,,,,,,,,,,,,,,,,,,,,,,,,71.29673289996572,71.71142159984447,71.79480081989895,None,right,0.5448338999412954,71.7949546999298,None,71.7949546999298,None,71.7949546999298,None,,,,,,,,,,,,,,,01,eeeee,2020_Oct_09_1324,2_afc_eng,2020.2.3,59.88780615233442,
stim/VC_05.wav,,,,,3,8,41,4,,,,,,,,,,,,,,,,,,,,,,,,,72.36231120000593,72.7614177998621,72.86151011993643,None,left,0.7149354999419302,72.86139589990489,None,72.86139589990489,None,72.86139589990489,None,,,,,,,,,,,,,,,01,eeeee,2020_Oct_09_1324,2_afc_eng,2020.2.3,59.88780615233442,
stim/VC_08.wav,,,,,3,9,42,7,,,,,,,,,,,,,,,,,,,,,,,,,73.59492609999143,73.99476839997806,74.09477882001083,None,right,1.072599799837917,74.09464359981939,None,74.09464359981939,None,74.09464359981939,None,,,,,,,,,,,,,,,01,eeeee,2020_Oct_09_1324,2_afc_eng,2020.2.3,59.88780615233442,
stim/VC_07.wav,,,,,3,10,43,6,,,,,,,,,,,,,,,,,,,,,,,,,75.19485759991221,75.59459499991499,75.69448601996991,None,right,1.124333699932322,75.69449569983408,None,75.69449569983408,None,75.69449569983408,None,,,,,,,,,,,,,,,01,eeeee,2020_Oct_09_1324,2_afc_eng,2020.2.3,59.88780615233442,
stim/VC_06.wav,,,,,4,0,44,5,,,,,,,,,,,,,,,,,,,,,,,,,76.84477229998447,77.24466209998354,77.34445341986138,None,left,0.8611949000041932,77.3444562999066,None,77.3444562999066,None,77.3444562999066,None,,,,,,,,,,,,,,,01,eeeee,2020_Oct_09_1324,2_afc_eng,2020.2.3,59.88780615233442,
stim/VC_03.wav,,,,,4,1,45,2,,,,,,,,,,,,,,,,,,,,,,,,,78.22783959982917,78.62768359994516,78.72736021999735,None,left,1.07824800000526,78.72776039992459,None,78.72776039992459,None,78.72776039992459,None,,,,,,,,,,,,,,,01,eeeee,2020_Oct_09_1324,2_afc_eng,2020.2.3,59.88780615233442,
stim/VC_04.wav,,,,,4,2,46,3,,,,,,,,,,,,,,,,,,,,,,,,,79.827486399794,80.22756519983523,80.32755401993636,None,left,0.9871595001313835,80.32786129997112,None,80.32786129997112,None,80.32786129997112,None,,,,,,,,,,,,,,,01,eeeee,2020_Oct_09_1324,2_afc_eng,2020.2.3,59.88780615233442,
stim/VC_10.wav,,,,,4,3,47,9,,,,,,,,,,,,,,,,,,,,,,,,,81.34404979995452,81.74428309989162,81.84414761986118,None,right,0.5588064000476152,81.84434119984508,None,81.84434119984508,None,81.84434119984508,None,,,,,,,,,,,,,,,01,eeeee,2020_Oct_09_1324,2_afc_eng,2020.2.3,59.88780615233442,
